region,decade,count,mean,median,stddev,mean_minus_stddev,mean_plus_stddev
Australia,-1510,100,0.22615,0.218,0.078693803100782,0.147456196899218,0.30484380310078196
Australia,-1500,100,0.31538,0.304,0.11407048857454921,0.20130951142545078,0.4294504885745492
Australia,-1490,100,0.26529,0.2365,0.09875674583786592,0.1665332541621341,0.36404674583786595
Australia,-1480,95,0.2355578947368421,0.227,0.08486694414368103,0.15069095059316107,0.32042483888052314
Australia,-1470,90,0.22133333333333335,0.209,0.07376656165213022,0.14756677168120313,0.2950998949854636
Australia,-1460,90,0.2152888888888889,0.2005,0.07827770277390969,0.1370111861149792,0.2935665916627986
Australia,-1450,90,0.22665555555555555,0.2125,0.11118646764227444,0.11546908791328112,0.33784202319782997
Australia,-1440,90,0.20295555555555558,0.173,0.08847927594730758,0.11447627960824801,0.29143483150286315
Australia,-1430,90,0.23096666666666665,0.211,0.11428521879908642,0.11668144786758024,0.3452518854657531
Australia,-1420,90,0.22437777777777776,0.199,0.11554838256811457,0.10882939520966319,0.33992616034589235
Australia,-1410,90,0.22583333333333333,0.21,0.09782043282797151,0.12801290050536182,0.3236537661613048
Australia,-1400,104,0.1633653846153846,0.1545,0.060688614388165835,0.10267677022721877,0.22405399900355044
Australia,-1390,110,0.17068181818181816,0.159,0.06670088397667148,0.10398093420514667,0.23738270215848964
Australia,-1380,117,0.1806068376068376,0.166,0.08573354444148022,0.09487329316535738,0.26634038204831784
Australia,-1370,111,0.17272072072072073,0.156,0.08248968763881075,0.09023103308190998,0.25521040835953146
Australia,-1360,110,0.20078181818181817,0.1925,0.07852567882671245,0.12225613935510572,0.27930749700853064
Australia,-1350,110,0.19743636363636363,0.177,0.1053273209434013,0.09210904269296233,0.30276368457976494
Australia,-1340,120,0.19054166666666666,0.181,0.08517346569033739,0.10536820097632928,0.27571513235700407
Australia,-1330,120,0.176125,0.164,0.07823607482077143,0.09788892517922858,0.2543610748207714
Australia,-1320,120,0.16266666666666665,0.149,0.0744919298920871,0.08817473677457956,0.23715859655875376
Australia,-1310,120,0.17245833333333332,0.1595,0.0838391713500382,0.08861916198329513,0.25629750468337154
Australia,-1300,103,0.18745631067961166,0.194,0.0816051921525553,0.10585111852705636,0.26906150283216695
Australia,-1290,106,0.23752830188679247,0.244,0.08831730753607858,0.1492109943507139,0.32584560942287105
Australia,-1280,110,0.24705454545454544,0.226,0.10647942785876971,0.14057511759577573,0.35353397331331515
Australia,-1270,126,0.2696269841269841,0.232,0.14681791357335025,0.12280907055363385,0.4164448977003343
Australia,-1260,124,0.2385322580645161,0.1995,0.13776080575172225,0.10077145231279386,0.3762930638162384
